title,url,description,skills,duration,platform,language,category,sub_category,skills_parsed,normalized_skills
machine learning specialization,https://www.coursera.org/specializations/machine-learning-introduction,"#breakintoai with machine learning specialization. master fundamental ai concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by ai visionary andrew ng","decision trees, artificial neural network, logistic regression, recommender systems, linear regression, regularization to avoid overfitting, gradient descent, supervised learning, logistic regression for classification, xgboost, tensorflow, tree ensembles,",Approximately 3 months to complete,coursera,english,data science,machine learning,"['decision trees', 'artificial neural network', 'logistic regression', 'recommender systems', 'linear regression', 'regularization to avoid overfitting', 'gradient descent', 'supervised learning', 'logistic regression for classification', 'xgboost', 'tensorflow', 'tree ensembles']",['tensorflow']
introduction to data science specialization,https://www.coursera.org/specializations/introduction-data-science,launch your career in data science. gain foundational data science skills to prepare for a career or further advanced learning in data science.,"data science, relational database management system rdbms , cloud databases, python programming, sql, deep learning, machine learning, big data, data mining, github, jupyter notebooks, rstudio,",Approximately 5 months to complete,coursera,english,data science,data analysis,"['data science', 'relational database management system rdbms', 'cloud databases', 'python programming', 'sql', 'deep learning', 'machine learning', 'big data', 'data mining', 'github', 'jupyter notebooks', 'rstudio']","['data science', 'cloud databases', 'python', 'sql', 'deep learning', 'machine learning', 'big data', 'data mining', 'github', 'jupyter notebook']"
data science fundamentals with python and sql specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,"build the foundation for your data science career. develop hands-on experience with jupyter, python, sql. perform statistical analysis on real data sets.","data science, github, python programming, jupyter notebooks, rstudio, data analysis, pandas, numpy, probability and statistics, regression analysis, data visualization dataviz , statistical hypothesis testing,",Approximately 7 months to complete,coursera,english,data science,data analysis,"['data science', 'github', 'python programming', 'jupyter notebooks', 'rstudio', 'data analysis', 'pandas', 'numpy', 'probability and statistics', 'regression analysis', 'data visualization dataviz', 'statistical hypothesis testing']","['data science', 'github', 'python', 'jupyter notebook', 'data analysis', 'pandas', 'numpy', 'statistics and probability', 'regression analysis']"
key technologies for business specialization,https://www.coursera.org/specializations/key-technologies-for-business,get ahead with key business technologies. gain foundational understanding of key technologies driving modern businesses,"data science, artificial intelligence ai , business, cloud computing, technology, cloud native, devops, iaas paas saas, hybrid multicloud, deep learning, jobs, machine learning,",Approximately 3 months to complete,coursera,english,business,business essentials,"['data science', 'artificial intelligence ai', 'business', 'cloud computing', 'technology', 'cloud native', 'devops', 'iaas paas saas', 'hybrid multicloud', 'deep learning', 'jobs', 'machine learning']","['data science', 'cloud computing', 'devops', 'deep learning', 'machine learning']"
deep learning specialization,https://www.coursera.org/specializations/deep-learning,become a machine learning expert. master the fundamentals of deep learning and break into ai. recently updated with cutting-edge techniques,"artificial neural network, convolutional neural network, tensorflow, recurrent neural network, transformers, deep learning, backpropagation, python programming, neural network architecture, mathematical optimization, hyperparameter tuning, inductive transfer,",Approximately 5 months to complete,coursera,english,data science,machine learning,"['artificial neural network', 'convolutional neural network', 'tensorflow', 'recurrent neural network', 'transformers', 'deep learning', 'backpropagation', 'python programming', 'neural network architecture', 'mathematical optimization', 'hyperparameter tuning', 'inductive transfer']","['tensorflow', 'deep learning', 'python']"
ibm darden digital strategy specialization,https://www.coursera.org/specializations/digital-strategy,get ahead with key business and technical skills. understand how current technologies are changing industry and create strategy to transform your business,"data science, digital transformation, artificial intelligence ai , business strategy, cloud computing, deep learning, jobs, machine learning, strategy, swot analysis, value proposition, competitiveness,",Approximately 7 months to complete,coursera,english,data science,machine learning,"['data science', 'digital transformation', 'artificial intelligence ai', 'business strategy', 'cloud computing', 'deep learning', 'jobs', 'machine learning', 'strategy', 'swot analysis', 'value proposition', 'competitiveness']","['data science', 'business strategy', 'cloud computing', 'deep learning', 'machine learning', 'strategy']"
ibm ai foundations for business specialization,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,,"data science, artificial intelligence ai , information technology it architecture, data architecture, leadership, deep learning, jobs, machine learning, big data, data mining, management, analytics,",Approximately 2 months to complete,coursera,english,data science,machine learning,"['data science', 'artificial intelligence ai', 'information technology it architecture', 'data architecture', 'leadership', 'deep learning', 'jobs', 'machine learning', 'big data', 'data mining', 'management', 'analytics']","['data science', 'leadership', 'deep learning', 'machine learning', 'big data', 'data mining', 'analytics']"
data analysis and visualization foundations specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations,"get ahead w/ data analysis visualization skills. enhance your career by learning to analyze data using excel spreadsheets, and create stunning visualizations and interactive dashboards with cognos.","data science, spreadsheet, microsoft excel, data analysis, data visualization dataviz , pivot table, ibm cognos analytics, dashboard,",Approximately 4 months to complete,coursera,english,data science,data analysis,"['data science', 'spreadsheet', 'microsoft excel', 'data analysis', 'data visualization dataviz', 'pivot table', 'ibm cognos analytics', 'dashboard']","['data science', 'data analysis', 'dashboard']"
applied data science specialization,https://www.coursera.org/specializations/applied-data-science,"get hands-on skills for a career in data science. learn python, analyze and visualize data. apply your skills to data science and machine learning.","data science, python programming, data analysis, pandas, numpy, jupyter notebooks, predictive modelling, data visualization dataviz , model selection, dashboards and charts, dash, matplotlib,",Approximately 6 months to complete,coursera,english,data science,machine learning,"['data science', 'python programming', 'data analysis', 'pandas', 'numpy', 'jupyter notebooks', 'predictive modelling', 'data visualization dataviz', 'model selection', 'dashboards and charts', 'dash', 'matplotlib']","['data science', 'python', 'data analysis', 'pandas', 'numpy', 'jupyter notebook', 'predictive modeling', 'excel charts and dashboards', 'matplotlib']"
data engineering foundations specialization,https://www.coursera.org/specializations/data-engineering-foundations,"build the foundation for a data engineering career. develop hands-on experience with python, sql, and relational databases and master the fundamentals of the data engineering ecosystem.","information engineering, python programming, extraction, transformation and loading etl , relational database management system rdbms , sql, data science, database dbms , nosql, data analysis, pandas, numpy, jupyter notebooks,",Approximately 5 months to complete,coursera,english,information technology,data management,"['information engineering', 'python programming', 'extraction', 'transformation and loading etl', 'relational database management system rdbms', 'sql', 'data science', 'database dbms', 'nosql', 'data analysis', 'pandas', 'numpy', 'jupyter notebooks']","['python', 'sql', 'data science', 'nosql', 'data analysis', 'pandas', 'numpy', 'jupyter notebook']"
